1340012035,59.984,122.8
1340012036,60.004,122.788
1340012037,59.992,122.802
1340012038,59.978,122.786
1340012039,60.018,122.791
1340012040,59.981,122.774
1340012041,60.013,122.797
1340012042,59.986,122.783
1340012043,60.009,122.789
1340012044,59.99,122.808
1340012045,60.004,122.799
1340012046,59.995,122.806
1340012047,59.978,122.801
1340012048,59.995,122.808
1340012049,59.978,122.775
1340012050,59.994,122.816
1340012051,59.98,122.808
1340012052,60.014,122.795
1340012053,59.985,122.788
1340012054,60.007,122.78
1340012055,59.992,122.803
1340012056,59.978,122.829
1340012057,59.993,122.819
1340012058,59.978,122.821
1340012059,60.011,122.784
1340012060,59.988,122.792
1340012061,59.978,122.819
1340012062,59.989,122.789
1340012063,59.981,122.844
1340012064,60.003,122.837
1340012065,59.988,122.831
1340012066,59.98,122.865
1340012067,59.978,122.903
1340012068,59.987,122.927
1340012069,59.984,122.915
1340012070,59.978,122.921
1340012071,59.988,122.904
1340012072,59.986,122.897
1340012073,59.978,122.889
1340012074,60.011,122.875
1340012075,59.988,122.875
1340012076,59.978,122.876
1340012078,60.009,122.894
1340012079,59.987
1340012080,59.978,122.873
1340012081,60.003,122.877
1340012082,59.988,122.894
1340012083,59.981,122.842
1340012084,59.978,122.845
1340012085,60.006,122.829
1340012086,59.982,122.799
1340012087,59.983,122.797
1340012088,59.978,122.822
1340012089,59.978,122.822
1340012090,59.982,122.829
1340012091,59.982,122.8
1340012092,59.981,122.799
1340012093,59.978,122.814
1340012094,59.978,122.777
1340012095,59.981,122.831
1340012096,59.979,122.786
1340012097,59.981,122.781
1340012098,59.979,122.771
1340012099,59.978,122.774
1340012100,59.978,122.787
1340012101,60.005,122.81
1340012102,59.983,122.839
1340012103,59.982,122.806
1340012104,59.978,122.822
1340012105,59.978,122.82
1340012106,59.982,122.763
1340012107,59.982,122.768
1340012108,59.98,122.772
1340012109,59.978,122.792
1340012110,60.006,122.775
1340012111,59.983,122.785
1340012112,59.982,122.787
1340012113,59.978,122.812
1340012114,60.003,122.805
1340012115,59.986,122.802
1340012116,59.983,123.006
1340012117,59.978,123.173
1340012118,60.008,123.204
1340012119,59.987,123.173
1340012120,59.978,123.093
1340012121,60.003,123.162
1340012122,59.987,123.158
1340012123,59.982,123.19
1340012124,59.978,123.2
1340012125,59.987,123.177
1340012126,59.984,123.179
1340012127,59.978,123.16
1340012128,59.989,123.16
1340012129,59.98,123.085
1340012130,60.006,123.097
